Step	Loss	GPU Memory (MB)	CPU Usage (%)	Step Time (s)
Total Training Samples: 6961
Unique Samples: 6769
19	7.2994	9804.17	14.40	0.5410
19	7.0662	9804.17	16.00	0.5415
19	6.9444	9804.17	16.80	0.5417
19	6.3228	9804.17	16.10	0.5412
19	6.9660	9804.17	15.30	0.5423
19	6.9113	9804.17	16.10	0.5408
19	6.9953	9804.17	16.40	0.5409
19	7.8321	9804.17	16.30	0.5441
19	7.5282	9804.17	15.10	0.5411
19	7.7998	9804.17	16.10	0.5415
19	7.2618	9804.17	16.80	0.5411
20	7.1925	9804.17	16.10	0.5428
20	6.8163	9804.17	15.90	0.5417
20	6.9415	9804.17	14.70	0.5421
20	7.4224	9804.17	16.00	0.5431
20	7.3835	9804.17	15.40	0.5427
20	6.9084	9804.17	14.60	0.5417
20	7.6366	9804.17	15.60	0.5416
20	7.1204	9804.17	17.10	0.5416
20	7.6057	9804.17	15.50	0.5419
20	7.2809	9804.17	14.80	0.5414
20	6.7701	9804.17	15.40	0.5424
20	6.6462	9804.17	16.70	0.5418
